Tweet_Length,Tweet_Date,UserName,Full_Tweets,Tweet_Links,at_word,Mention_Count
144,2023-02-02 14:56:16+00:00,Purina, at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o lakes ,https://t.co/qxd4sUMlNC,nunyabitness02,1
144,2023-02-02 14:54:41+00:00,Purina, at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o lakes  ma,https://t.co/PKOhc8iEIr,FaithKrissi,1
140,2023-02-02 14:40:05+00:00,Purina, at nestle purina petcare company  we only make pet care products for dogs and cats  we sold our domesti,https://t.co/5QIVdEBzvN,wsmith1213,1
140,2023-02-02 14:25:56+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the ch,https://t.co/l5bNKTywTv,mymamas_recipes,1
140,2023-02-02 02:23:18+00:00,Purina, while the stories are covering purina animal nutrition  it has caused a lot of confusion in the comm,https://t.co/TXz3rc5N85,LisaC53368802,1
144,2023-02-02 02:14:16+00:00,Purina, hi  at nestle purina  we make only dog   cat products  purina animal nutrition  a seperate company,https://t.co/07uwW1ybbn,RebeccaSchicklr,1
144,2023-02-02 02:12:48+00:00,Purina, hi  at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o l,https://t.co/sTZA4QE83T,stoked_on_earth,1
139,2023-02-02 02:09:02+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make or sell the,https://t.co/t7r978tcxS,mccartydh,1
144,2023-02-02 02:05:34+00:00,Purina, hi  at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o l,https://t.co/HBP3T057GN,DavidGu90285497,1
144,2023-02-02 00:21:42+00:00,Purina, at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o lakes ,https://t.co/MFxoec2AlP,MagaForlifeFLA,1
144,2023-02-02 00:20:05+00:00,Purina, at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o lakes ,https://t.co/alcZNox95G,KaXliaMaPeTute,1
140,2023-02-02 00:16:23+00:00,Purina, great question  ralston purina company sold its domestic agricultural feed subsidiary in 1986 to pur,https://t.co/RsScRpYEHs,FreeAtLastTX1,1
140,2023-02-02 00:13:29+00:00,Purina, hi  nestle purina petcare company does not make or sell chicken feed  purina mills incorporated was acquir,https://t.co/nhHX7cvRtL,rushrw7,1
140,2023-02-02 00:08:22+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chick,https://t.co/Seh5hrHyxr,Mike11708302,1
144,2023-02-01 23:47:15+00:00,Purina, at nestle purina  we make solely dog   cat products to which are completely safe to feed  purina an,https://t.co/Eo0ecu9vgN,firemanjohn629,1
140,2023-02-01 23:28:28+00:00,Purina, hi again  we would encourage you to contact land o  lakes directly to discuss your concerns  purina,https://t.co/xiBeprD2vf,LittleDavidJr1,1
144,2023-02-01 22:01:10+00:00,Purina, at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o lakes ,https://t.co/lvgB2960OM,markedtofuture,1
140,2023-02-01 19:51:17+00:00,Purina,  your dedication and commitment to serving our community continues to amaze us  thank y,https://t.co/M09sHVPL8N,UnitedWaySTL PurinaCareers,2
140,2023-02-01 19:21:59+00:00,Purina, hi  please know that the purina tagged here  nestle purina petcare company  does not make the chicken,https://t.co/0KXWlFAU0V,SaintNomadic,1
144,2023-02-01 19:20:11+00:00,Purina, hi  at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o lakes ,https://t.co/1cu72iEObF,brothafree,1
144,2023-02-01 18:43:07+00:00,Purina, hi  at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o la,https://t.co/NJKB3eu3Pq,willpackapunch,1
143,2023-02-01 18:39:09+00:00,Purina, hi  at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o lakes ,https://t.co/R1URMlRoMe,TonyReed_,1
144,2023-02-01 18:20:40+00:00,Purina, hi  at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o lak,https://t.co/EPv39RXkxg,NewswithNudey,1
144,2023-02-01 18:10:51+00:00,Purina, hi  at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o l,https://t.co/erMvXj1Mp8,OneBodyOneFight,1
139,2023-02-01 18:04:59+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chicken,https://t.co/RdBAF27fYt,TrumpMcc1,1
143,2023-02-01 18:03:19+00:00,Purina, hi  at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o lakes ,https://t.co/mdoD88xYbd,TrumpMcc1,1
139,2023-02-01 17:56:55+00:00,Purina, hi  please know that the purina tagged here  nestle purina petcare company  does not make chicken feed ,https://t.co/6Ldj9P61ta,MrKartoom,1
140,2023-02-01 17:52:39+00:00,Purina, hi  we  nestle purina petcare company  do not make the chicken feed that has been mentioned in recen,https://t.co/6Ezu96zwqk,LisaC53368802,1
140,2023-02-01 17:32:38+00:00,Purina, great question  ralston purina company sold its domestic agricultural feed subsidiary in 1986 to purina mi,https://t.co/G8YQYJp9uH,pamg8tr,1
140,2023-02-01 17:31:32+00:00,Purina, hi  we are happy to share that dog chow is made by nestle purina petcare company in the usa by our own asso,https://t.co/18QK28znk3,pamg8tr,1
144,2023-02-01 16:49:44+00:00,Purina, at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o lakes ,https://t.co/8DFfCIUwKN,LawrenceSellin,1
140,2023-02-01 08:42:54+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chi,https://t.co/yAoixrRgVX,icantbethisold,1
